ID;genre;situation_academique;domaine_etude;a_deja_vecu_kot;region_domicile;intention_erasmus;facteur_budget;facteur_barriere_langue;facteur_loin_famille;facteur_relation_amoureuse;facteur_climat;facteur_culture;facteur_alimentation;facteur_confort;facteur_craintes_sociales;facteur_organisation;classement_zone_preferee;destination_ideale_en_tete;destination_ideale;lien_destination;importance_culture_locale;importance_langue_locale;importance_prestige_universites;importance_offre_universites;importance_distance_origine;importance_politique_pays;importance_cout_vie;importance_richesse_pays;importance_climat_destination;importance_agencement_villes;importance_impact_climatique_trajet;importance_subside;importance_aide_topup_ecoresponsable;importance_securite
6;Homme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Périurbaine;Oui;;;;;;;;;;;"Europe occidentale;Amérique latine;Asie (centrale/ du Sud);Océanie;Europe de l'Est;Asie de l'Est;Amérique du Nord (US et Canada);Afrique du Nord;Afrique Sub-Saharienne;Scandinavie (Pays du nord de l'Europe);";Oui;Rome;Non;Fort;Fort;Modérément;Peu;Peu;Peu;Fort;Modérément;Fort;Modérément;Peu;Fort;Modérément;Peu
7;Femme;Autre;Ingénieur civil / industriel;Oui;Rurale;Peut-être;;;;;;;;;;;"Asie (centrale/ du Sud);Asie de l'Est;Océanie;Amérique latine;Europe occidentale;Afrique Sub-Saharienne;Afrique du Nord;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe de l'Est;";Oui;Japon;Oui;Très fort;Modérément;Très peu;Très peu;Très peu;Très peu;Très fort;Très peu;Fort;Fort;Peu;Peu;Peu;Très fort
8;Homme;Master ;Sciences;Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Europe occidentale;Afrique du Nord;Afrique Sub-Saharienne;Asie de l'Est;Asie (centrale/ du Sud);Europe de l'Est;Scandinavie (Pays du nord de l'Europe);Océanie;";Oui;Chili;Non;Très fort;Très fort;Très peu;Fort;Très peu;Fort;Fort;Très peu;Très fort;Fort;Peu;Modérément;Peu;Peu
9;Femme;Bac;Droit;Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique latine;Asie (centrale/ du Sud);Océanie;Europe occidentale;Afrique du Nord;Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Afrique Sub-Saharienne;Europe de l'Est;Amérique du Nord (US et Canada);";Oui;Colombie;Non;Très fort;Fort;Modérément;Modérément;Très peu;Fort;Modérément;Peu;Fort;Modérément;Fort;Modérément;Fort;Modérément
10;Femme;Bac;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Scandinavie (Pays du nord de l'Europe);Asie (centrale/ du Sud);Asie de l'Est;Afrique Sub-Saharienne;Afrique du Nord;Europe de l'Est;Europe occidentale;Amérique du Nord (US et Canada);Océanie;";Oui;Colombie ;Non;Fort;Très peu;Peu;Peu;Modérément;Très peu;Peu;Peu;Modérément;Très peu;Modérément;Fort;Modérément;Peu
11;Homme;Master ;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Europe occidentale;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Amérique latine;Europe de l'Est;Océanie;Afrique du Nord;Afrique Sub-Saharienne;Asie de l'Est;Asie (centrale/ du Sud);";Non;;;Fort;Fort;Modérément;Modérément;Fort;Modérément;Fort;Modérément;Modérément;Peu;Peu;Modérément;Peu;Modérément
12;Homme;Master ;Medecine / dentisterie / kinésitérapeute;Oui;Rurale;Oui;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Amérique du Nord (US et Canada);Afrique du Nord;Asie (centrale/ du Sud);Asie de l'Est;Afrique Sub-Saharienne;Scandinavie (Pays du nord de l'Europe);Océanie;Amérique latine;";Oui;L'ile de la reunion ;Non;Modérément;Modérément;Très peu;Très peu;Modérément;Modérément;Modérément;Modérément;Très fort;Modérément;Très peu;Modérément;Peu;Fort
13;Homme;Master ;Sciences;Oui;Périurbaine;Peut-être;;;;;;;;;;;"Amérique latine;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Océanie;Europe de l'Est;Europe occidentale;Afrique du Nord;Asie de l'Est;Afrique Sub-Saharienne;Asie (centrale/ du Sud);";Non;;;Fort;Fort;Fort;Très fort;Très peu;Fort;Fort;Modérément;Modérément;Modérément;Fort;Fort;Très fort;Fort
14;Homme;Bac;Sciences politiques, sociales, économiques, de communication;Oui;Périurbaine;Peut-être;;;;;;;;;;;"Europe occidentale;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Océanie;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;Amérique latine;";Non;;;Peu;Très fort;Très peu;Peu;Peu;Fort;Fort;Peu;Fort;Modérément;Modérément;Fort;Modérément;Fort
15;Homme;Bac;Ingénieur civil / industriel;Oui;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Amérique latine;Océanie;Afrique Sub-Saharienne;Afrique du Nord;Asie de l'Est;Asie (centrale/ du Sud);Europe occidentale;Europe de l'Est;";Non;;;Fort;Modérément;Peu;Fort;Très peu;Modérément;Très fort;Très fort;Modérément;Peu;Peu;Très fort;Fort;Modérément
16;Homme;Bac;Autre / Je ne suis pas concerné;Non;Rurale;Oui;;;;;;;;;;;"Afrique du Nord;Amérique latine;Europe occidentale;Amérique du Nord (US et Canada);Asie de l'Est;Europe de l'Est;Asie (centrale/ du Sud);Scandinavie (Pays du nord de l'Europe);Océanie;Afrique Sub-Saharienne;";Non;;;Modérément;Modérément;Fort;Fort;Très peu;Fort;Fort;Modérément;Fort;Très fort;Modérément;Fort;Fort;Modérément
18;Homme;Je ne suis plus aux études;Ingénieur civil / industriel;Oui;Urbaine;Oui;;;;;;;;;;;"Océanie;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Amérique latine;Asie de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Afrique du Nord;";Oui;Australie;Non;Fort;Modérément;Fort;Fort;Très peu;Peu;Modérément;Modérément;Modérément;Très peu;Très peu;Peu;Peu;Fort
20;Femme;Je ne suis plus aux études;Droit;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Scandinavie (Pays du nord de l'Europe);Europe occidentale;Afrique du Nord;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Amérique du Nord (US et Canada);Océanie;";Oui;Italie;Non;Fort;Modérément;Peu;Modérément;Modérément;Peu;Fort;Peu;Très fort;Fort;Très fort;Modérément;Modérément;Modérément
22;Femme;Master ;Medecine / dentisterie / kinésitérapeute;Oui;Urbaine;Oui;;;;;;;;;;;"Océanie;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe occidentale;Asie de l'Est;Amérique latine;Europe de l'Est;Asie (centrale/ du Sud);Afrique du Nord;";Non;;;Modérément;Peu;Modérément;Modérément;Très peu;Peu;Modérément;Modérément;Fort;Modérément;Très peu;Modérément;Modérément;Modérément
23;Homme;Master ;Sciences;Non;Périurbaine;Oui;;;;;;;;;;;"Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Océanie;Amérique latine;Amérique du Nord (US et Canada);Europe occidentale;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Peu;Fort;Très peu;Modérément;Très peu;Fort;Modérément;Peu;Peu;Très fort;Modérément;Modérément;Modérément;Fort
24;Femme;Doctorat;Medecine / dentisterie / kinésitérapeute;Non;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Océanie;Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Afrique Sub-Saharienne;Asie de l'Est;Europe occidentale;Asie (centrale/ du Sud);Europe de l'Est;";Oui;Chili ;Non;Modérément;Modérément;Modérément;Modérément;Peu;Peu;Modérément;Modérément;Modérément;Peu;Peu;Modérément;Peu;Modérément
25;Homme;Master ;Sciences;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Afrique Sub-Saharienne;Afrique du Nord;Asie de l'Est;Asie (centrale/ du Sud);Océanie;Europe occidentale;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;";Non;;;Très fort;Fort;Modérément;Modérément;Peu;Peu;Fort;Peu;Fort;Modérément;Peu;Peu;Peu;Modérément
26;Homme;Master ;Gestion (ingénieur);Oui;Urbaine;Oui;;;;;;;;;;;"Asie (centrale/ du Sud);Asie de l'Est;Amérique du Nord (US et Canada);Océanie;Scandinavie (Pays du nord de l'Europe);Amérique latine;Europe occidentale;Europe de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Inde;Non;Modérément;Fort;Fort;Peu;Très peu;Très peu;Modérément;Très peu;Fort;Modérément;Très peu;Très peu;Très peu;Modérément
28;Femme;Je ne suis plus aux études;Medecine / dentisterie / kinésitérapeute;Non;Urbaine;Oui;;;;;;;;;;;"Océanie;Amérique latine;Amérique du Nord (US et Canada);Europe occidentale;Afrique Sub-Saharienne;Asie (centrale/ du Sud);Asie de l'Est;Afrique du Nord;Europe de l'Est;Scandinavie (Pays du nord de l'Europe);";Non;;;Fort;Très fort;Fort;Modérément;Peu;Fort;Modérément;Modérément;Fort;Modérément;Modérément;Peu;Modérément;Fort
29;Homme;Master ;Droit;Oui;Urbaine;Peut-être;;;;;;;;;;;"Europe occidentale;Océanie;Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Afrique du Nord;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Afrique Sub-Saharienne;Amérique latine;";Non;;;Fort;Fort;Modérément;Modérément;Peu;Fort;Très fort;Modérément;Fort;Très fort;Modérément;Fort;Fort;Très fort
30;Femme;Master ;Philosophie, arts et lettres;Oui;Rurale;Oui;;;;;;;;;;;"Amérique latine;Océanie;Asie de l'Est;Asie (centrale/ du Sud);Afrique du Nord;Afrique Sub-Saharienne;Europe occidentale;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe de l'Est;";Non;;;Très fort;Fort;Peu;Modérément;Fort;Fort;Très fort;Très peu;Très fort;Fort;Modérément;Modérément;Modérément;Modérément
31;Femme;Bac;Sciences;Oui;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Europe de l'Est;Océanie;Europe occidentale;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Amérique latine;Afrique du Nord;Afrique Sub-Saharienne;";Non;;;Très fort;Très fort;Modérément;Modérément;Peu;Fort;Fort;Modérément;Modérément;Fort;Modérément;Peu;Modérément;Fort
32;Homme;Master ;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Amérique latine;Afrique du Nord;Europe de l'Est;Asie de l'Est;Europe occidentale;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Océanie;Amérique du Nord (US et Canada);";Oui;Oslo;Non;Modérément;Peu;Fort;Fort;Modérément;Modérément;Peu;Peu;Modérément;Modérément;Fort;Fort;Fort;Modérément
33;Homme;Master ;Sciences;Non;Périurbaine;Peut-être;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Océanie;Amérique latine;Afrique Sub-Saharienne;Europe de l'Est;Amérique du Nord (US et Canada);Europe occidentale;Asie (centrale/ du Sud);Afrique du Nord;";Non;;;Fort;Modérément;Très peu;Fort;Peu;Fort;Fort;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément;Modérément
34;Homme;Je ne suis plus aux études;Sciences de l’éducation;Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Asie (centrale/ du Sud);Afrique Sub-Saharienne;Asie de l'Est;Afrique du Nord;Europe de l'Est;Océanie;Europe occidentale;";Oui;Mexique ;Non;Très fort;Très peu;Modérément;Modérément;Très peu;Très fort;Fort;Peu;Fort;Fort;Modérément;Modérément;Très fort;Très fort
35;Femme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Urbaine;Oui;;;;;;;;;;;"Europe occidentale;Amérique latine;Afrique Sub-Saharienne;Amérique du Nord (US et Canada);Afrique du Nord;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Océanie;Scandinavie (Pays du nord de l'Europe);";Oui;France;Oui;Fort;Très fort;Fort;Fort;Très peu;Modérément;Modérément;Modérément;Fort;Très peu;Très peu;Modérément;Très peu;Peu
36;Femme;Master ;Autre / Je ne suis pas concerné;Non;Urbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Asie de l'Est;Asie (centrale/ du Sud);Amérique du Nord (US et Canada);Amérique latine;Océanie;Afrique du Nord;Afrique Sub-Saharienne;Europe de l'Est;Europe occidentale;";Oui;Edimbourg;Non;Fort;Très fort;Modérément;Modérément;Fort;Modérément;Très peu;Modérément;Modérément;Modérément;Fort;Modérément;Fort;Fort
37;Femme;Master ;Droit;Non;Périurbaine;Oui;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Scandinavie (Pays du nord de l'Europe);Amérique du Nord (US et Canada);Asie de l'Est;Asie (centrale/ du Sud);Océanie;Amérique latine;Afrique Sub-Saharienne;Afrique du Nord;";Non;;;Fort;Modérément;Fort;Fort;Très peu;Fort;Modérément;Peu;Modérément;Fort;Modérément;Fort;Fort;Fort
38;Femme;Master ;Autre / Je ne suis pas concerné;Oui;Urbaine;Oui;;;;;;;;;;;"Europe occidentale;Europe de l'Est;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Océanie;Asie (centrale/ du Sud);Amérique latine;Asie de l'Est;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Paris, FRANCE;Oui;Très fort;Fort;Très fort;Très fort;Peu;Fort;Modérément;Fort;Fort;Très fort;Modérément;Modérément;Modérément;Modérément
40;Homme;Bac;Ingénieur civil / industriel;Oui;Urbaine;Peut-être;;;;;;;;;;;"Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Asie de l'Est;Asie (centrale/ du Sud);Afrique Sub-Saharienne;Amérique latine;Afrique du Nord;Océanie;";Oui;USA;Non;Modérément;Modérément;Fort;Fort;Fort;Modérément;Peu;Modérément;Modérément;Modérément;Fort;Fort;Modérément;Modérément
