ID,genre,situation_academique,domaine_etude,a_deja_vecu_kot,region_domicile,classement_zone_preferee,destination_ideale,lien_destination
"6,Homme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Periurbaine,Europe occidentale,Rome,Non"
7,Femme,Autre,Ingenieur civil / industriel,Oui,Rurale,Asie (centrale/ du Sud),Japon,Oui
8,Homme,Master,Sciences,Oui,Periurbaine,Amerique latine,Chili,Non
9,Femme,Bac,Droit,Oui,Periurbaine,Amerique latine,Colombie,Non
"10,Femme,Bac,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Amerique latine,Colombie ,Non"
11,Homme,Master,Sciences,Oui,Rurale,Europe occidentale,,
12,Homme,Master,Medecine / dentisterie / kinesiterapeute,Oui,Rurale,Europe occidentale,L'ile de la reunion ,Non
13,Homme,Master,Sciences,Oui,Periurbaine,Amerique latine,,
"14,Homme,Bac,""Sciences politiques, sociales, economiques, de communication"",Oui,Periurbaine,Europe occidentale,,"
15,Homme,Bac,Ingenieur civil / industriel,Oui,Rurale,Scandinavie (Pays du nord de l'Europe),,
16,Homme,Bac,Autre / Je ne suis pas concerne,Non,Rurale,Afrique du Nord,,
18,Homme,Je ne suis plus aux etudes,Ingenieur civil / industriel,Oui,Urbaine,Oceanie,Australie,Non
20,Femme,Je ne suis plus aux etudes,Droit,Oui,Urbaine,Amerique latine,Italie,Non
22,Femme,Master,Medecine / dentisterie / kinesiterapeute,Oui,Urbaine,Oceanie,,
23,Homme,Master,Sciences,Non,Periurbaine,Asie de l'Est,,
24,Femme,Doctorat,Medecine / dentisterie / kinesiterapeute,Non,Urbaine,Amerique latine,Chili ,Non
25,Homme,Master,Sciences,Oui,Urbaine,Amerique latine,,
26,Homme,Master,Gestion (ingenieur),Oui,Urbaine,Asie (centrale/ du Sud),Inde,Non
28,Femme,Je ne suis plus aux etudes,Medecine / dentisterie / kinesiterapeute,Non,Urbaine,Oceanie,,
29,Homme,Master,Droit,Oui,Urbaine,Europe occidentale,,
"30,Femme,Master,""Philosophie, arts et lettres"",Oui,Rurale,Amerique latine,,"
31,Femme,Bac,Sciences,Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),,
32,Homme,Master,Sciences,Oui,Rurale,Scandinavie (Pays du nord de l'Europe),Oslo,Non
33,Homme,Master,Sciences,Non,Periurbaine,Scandinavie (Pays du nord de l'Europe),,
34,Homme,Je ne suis plus aux etudes,Sciences de l'education,Oui,Periurbaine,Amerique latine,Mexique ,Non
"35,Femme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Europe occidentale,France,Oui"
36,Femme,Master,Autre / Je ne suis pas concerne,Non,Urbaine,Scandinavie (Pays du nord de l'Europe),Edimbourg,Non
37,Femme,Master,Droit,Non,Periurbaine,Europe occidentale,,
"38,Femme,Master,Autre / Je ne suis pas concerne,Oui,Urbaine,Europe occidentale,""Paris, FRANCE"",Oui"
40,Homme,Bac,Ingenieur civil / industriel,Oui,Urbaine,Amerique du Nord (US et Canada),USA,Non
41,Homme,Master,Sciences,Oui,Rurale,Scandinavie (Pays du nord de l'Europe),,
42,Femme,Master,Sciences,Oui,Periurbaine,Scandinavie (Pays du nord de l'Europe),Danemark,Non
"43,Homme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Europe occidentale,,"
44,Homme,Bac,Autre / Je ne suis pas concerne,Non,Urbaine,Asie de l'Est,Japon - Canada - Royaume-Uni,Oui
45,Homme,Master,Psychologie,Oui,Periurbaine,Europe occidentale,Padoue,Oui
"46,Homme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Rurale,Europe occidentale,Italie,Oui"
47,Homme,Je ne suis plus aux etudes,Informatique,Oui,Rurale,Oceanie,,
"48,Homme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),,"
49,Homme,Bac,Ingenieur civil / industriel,Non,Periurbaine,Europe de l'Est,,
50,Homme,Master,Gestion (ingenieur),Oui,Urbaine,Amerique latine,,
51,Homme,Je ne suis plus aux etudes,Informatique,Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),,
"52,Homme,Bac,""Sciences politiques, sociales, economiques, de communication"",Non,Periurbaine,Amerique du Nord (US et Canada),,"
53,Homme,Master,Sciences,Oui,Rurale,Scandinavie (Pays du nord de l'Europe),,
"54,Homme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Europe occidentale,,"
55,Femme,Bac,Autre / Je ne suis pas concerne,Non,Rurale,Asie de l'Est,Shanghai,Oui
"56,Homme,Je ne suis plus aux etudes,Ingenieur civil / industriel,Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),""Su?de, Norv?ge"",Non"
58,Femme,Master,Sciences,Oui,Urbaine,Oceanie,nouvelle zelande,Non
60,Homme,Je ne suis plus aux etudes,Autre / Je ne suis pas concerne,Oui,Periurbaine,Oceanie,Australie,Non
61,Homme,Master,Sciences,Oui,Periurbaine,Amerique du Nord (US et Canada),,
62,Femme,Je ne suis plus aux etudes,Sciences de la sante (Medecine / dentisterie / kinesiterapeute / ...),Non,Urbaine,Amerique du Nord (US et Canada),,
